Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-04-24 00:00:00-04:00,1268.4,1275.5,1267.8,1275.5,518,0.0,0.0
2019-04-25 00:00:00-04:00,1280.6,1280.8,1275.8,1275.8,95,0.0,0.0
2019-04-26 00:00:00-04:00,1284.9,1284.9,1284.9,1284.9,804,0.0,0.0
2019-04-29 00:00:00-04:00,1284.8,1284.9,1277.1,1278.6,568,0.0,0.0
2019-04-30 00:00:00-04:00,1281.7,1283.3,1280.8,1282.8,114,0.0,0.0
2019-05-01 00:00:00-04:00,1278.7,1283.3,1278.7,1281.4,70,0.0,0.0
2019-05-02 00:00:00-04:00,1269.2,1270.8,1266.6,1269.7,63,0.0,0.0
2019-05-03 00:00:00-04:00,1270.1,1279.2,1270.1,1279.2,15,0.0,0.0
2019-05-06 00:00:00-04:00,1282.2,1282.2,1280.3,1281.7,12,0.0,0.0
2019-05-07 00:00:00-04:00,1280.5,1283.5,1280.5,1283.5,8,0.0,0.0
2019-05-08 00:00:00-04:00,1279.4,1279.4,1279.4,1279.4,5,0.0,0.0
2019-05-09 00:00:00-04:00,1278.9,1285.0,1278.8,1283.5,38,0.0,0.0
2019-05-10 00:00:00-04:00,1285.4,1286.5,1283.3,1285.7,6,0.0,0.0
2019-05-13 00:00:00-04:00,1286.7,1300.1,1281.8,1300.1,56,0.0,0.0
2019-05-14 00:00:00-04:00,1297.8,1297.8,1294.7,1294.7,6,0.0,0.0
2019-05-15 00:00:00-04:00,1296.9,1296.9,1296.0,1296.3,55,0.0,0.0
2019-05-16 00:00:00-04:00,1285.2,1285.4,1285.0,1285.0,3,0.0,0.0
2019-05-17 00:00:00-04:00,1280.0,1280.0,1274.5,1274.5,1,0.0,0.0
2019-05-20 00:00:00-04:00,1276.1,1276.1,1276.1,1276.1,20,0.0,0.0
2019-05-21 00:00:00-04:00,1272.0,1272.0,1272.0,1272.0,0,0.0,0.0
2019-05-22 00:00:00-04:00,1273.6,1273.6,1273.6,1273.6,0,0.0,0.0
2019-05-23 00:00:00-04:00,1284.8,1284.8,1284.8,1284.8,0,0.0,0.0
2019-05-24 00:00:00-04:00,1283.0,1283.0,1283.0,1283.0,9,0.0,0.0
2019-05-28 00:00:00-04:00,1276.5,1276.5,1276.5,1276.5,0,0.0,0.0
2019-05-29 00:00:00-04:00,1280.6,1280.6,1280.6,1280.6,189694,0.0,0.0
2019-05-30 00:00:00-04:00,1279.4,1288.3,1273.9,1287.1,55573,0.0,0.0
2019-05-31 00:00:00-04:00,1287.7,1306.4,1287.5,1305.8,2814,0.0,0.0
2019-06-03 00:00:00-04:00,1307.0,1327.8,1307.0,1322.7,812,0.0,0.0
2019-06-04 00:00:00-04:00,1324.3,1328.6,1320.8,1323.4,302,0.0,0.0
2019-06-05 00:00:00-04:00,1328.9,1343.3,1326.3,1328.3,622,0.0,0.0
2019-06-06 00:00:00-04:00,1330.8,1338.7,1326.2,1337.6,161,0.0,0.0
2019-06-07 00:00:00-04:00,1333.1,1347.7,1329.8,1341.2,240,0.0,0.0
2019-06-10 00:00:00-04:00,1335.8,1336.5,1324.1,1324.7,268,0.0,0.0
2019-06-11 00:00:00-04:00,1328.4,1328.4,1319.1,1326.4,201,0.0,0.0
2019-06-12 00:00:00-04:00,1326.9,1334.5,1326.9,1331.9,139,0.0,0.0
2019-06-13 00:00:00-04:00,1331.6,1341.1,1331.6,1339.2,157,0.0,0.0
2019-06-14 00:00:00-04:00,1345.4,1355.4,1339.3,1340.1,914,0.0,0.0
2019-06-17 00:00:00-04:00,1339.0,1340.3,1335.0,1338.7,76,0.0,0.0
2019-06-18 00:00:00-04:00,1349.3,1349.3,1341.6,1346.6,29,0.0,0.0
2019-06-19 00:00:00-04:00,1344.0,1344.6,1344.0,1344.6,129,0.0,0.0
2019-06-20 00:00:00-04:00,1381.5,1392.9,1379.5,1392.9,76,0.0,0.0
2019-06-21 00:00:00-04:00,1406.0,1406.0,1390.3,1396.2,35,0.0,0.0
2019-06-24 00:00:00-04:00,1406.0,1420.6,1402.1,1414.3,125,0.0,0.0
2019-06-25 00:00:00-04:00,1418.1,1433.3,1414.9,1414.9,105,0.0,0.0
2019-06-26 00:00:00-04:00,1407.2,1413.3,1405.8,1411.6,1333,0.0,0.0
2019-06-27 00:00:00-04:00,1407.0,1410.8,1399.8,1408.4,437,0.0,0.0
2019-06-28 00:00:00-04:00,1408.3,1422.0,1408.3,1409.7,356,0.0,0.0
2019-07-01 00:00:00-04:00,1386.6,1395.8,1382.8,1385.6,214,0.0,0.0
2019-07-02 00:00:00-04:00,1391.1,1418.4,1390.8,1404.6,38,0.0,0.0
2019-07-03 00:00:00-04:00,1431.0,1434.0,1413.1,1417.7,46,0.0,0.0
2019-07-05 00:00:00-04:00,1418.3,1418.3,1390.2,1396.7,20,0.0,0.0
2019-07-08 00:00:00-04:00,1395.9,1397.0,1393.6,1397.0,14,0.0,0.0
2019-07-09 00:00:00-04:00,1394.5,1397.5,1386.2,1397.5,53,0.0,0.0
2019-07-10 00:00:00-04:00,1409.9,1410.1,1409.9,1410.1,50,0.0,0.0
2019-07-11 00:00:00-04:00,1424.0,1424.0,1404.3,1404.3,6,0.0,0.0
2019-07-12 00:00:00-04:00,1405.6,1410.1,1405.6,1409.9,8,0.0,0.0
2019-07-15 00:00:00-04:00,1414.4,1415.0,1411.4,1411.4,25,0.0,0.0
2019-07-16 00:00:00-04:00,1413.6,1413.7,1405.0,1409.2,13,0.0,0.0
